case_id,customer_id,card_id,opened_at,closed_at,outcome,pattern,first_fraud_txn_id,txn_ids,n_txns,exposure_usd,connected_card_ids,actions_taken,report_filed,analyst_notes
CC-0001,C00259,C00259-K1,2016-07-02 07:17:26,2016-07-06 01:17:26,confirmed_fraud,card_not_present_fraud,3000120.0,3000120,1,155.43,,CREATE_CASE|BLOCK_CARD,No,Case CC-0001: cardholder C00259 reported unrecognized activity on card C00259-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $155.43 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.
CC-0002,C06403,C06403-K2,2016-07-02 08:51:57,2016-07-04 05:51:57,confirmed_fraud,out_of_region_use,3000332.0,3000332,1,117.05,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0002: cardholder C06403 reported unrecognized activity on card C06403-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $117.05 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0003,C05876,C05876-K2,2016-07-02 16:34:01,2016-07-05 13:34:01,cleared,none,,3000607,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0003: model scored a $442.92 transaction at 0.91. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0004,C13440,C13440-K2,2016-07-02 20:05:35,2016-07-05 17:05:35,confirmed_fraud,out_of_region_use,3000906.0,3000906|3001040,2,857.92,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0004: cardholder C13440 reported unrecognized activity on card C13440-K2. 2 transaction(s) between 2016-07-02 and 2016-07-02 totaling $857.92 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0005,C08945,C08945-K2,2016-07-02 21:10:20,2016-07-04 02:10:20,confirmed_fraud,out_of_region_use,3000183.0,3000183,1,39.92,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0005: cardholder C08945 reported unrecognized activity on card C08945-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $39.92 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0006,C11227,C11227-K2,2016-07-02 21:21:35,2016-07-08 18:21:35,confirmed_fraud,out_of_region_use,3001230.0,3001230,1,265.07,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0006: cardholder C11227 reported unrecognized activity on card C11227-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $265.07 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0007,C00732,C00732-K1,2016-07-03 00:45:04,2016-07-07 03:45:04,confirmed_fraud,card_not_present_fraud,3000264.0,3000264,1,99.91,,CREATE_CASE|BLOCK_CARD,No,Case CC-0007: cardholder C00732 reported unrecognized activity on card C00732-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $99.91 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Trident/7.0 on ie 11.0 for desktop. Card blocked and reissued. Customer reimbursed.
CC-0008,C03667,C03667-K1,2016-07-03 00:56:48,2016-07-04 16:56:48,confirmed_fraud,account_takeover,3001018.0,3001018,1,49.04,,CREATE_CASE|BLOCK_CARD,No,Case CC-0008: cardholder C03667 reported unrecognized activity on card C03667-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $49.04 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0009,C10112,C10112-K1,2016-07-03 05:55:45,2016-07-06 01:55:45,cleared,none,,3002486,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0009: model scored a $149.98 transaction at 0.84. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.
CC-0010,C03246,C03246-K1,2016-07-03 07:04:50,2016-07-04 04:04:50,cleared,none,,3002792,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0010: model scored a $96.95 transaction at 0.83. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.
CC-0011,C13259,C13259-K1,2016-07-03 07:46:35,2016-07-06 16:46:35,confirmed_fraud,card_not_present_new_device,3000989.0,3000989,1,149.95,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0011: cardholder C13259 reported unrecognized activity on card C13259-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $149.95 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a SM-G550T Build/MMB29K on chrome 59.0 for android. Card blocked and reissued. Customer reimbursed."
CC-0012,C07220,C07220-K1,2016-07-03 08:40:41,2016-07-07 23:40:41,confirmed_fraud,card_not_present_fraud,3002019.0,3002019,1,123.52,,CREATE_CASE|BLOCK_CARD,No,Case CC-0012: cardholder C07220 reported unrecognized activity on card C07220-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $123.52 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.
CC-0013,C11464,C11464-K2,2016-07-03 09:17:43,2016-07-06 06:17:43,confirmed_fraud,account_takeover,3002951.0,3002951,1,261.95,,CREATE_CASE|BLOCK_CARD,No,Case CC-0013: cardholder C11464 reported unrecognized activity on card C11464-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $261.95 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0014,C01002,C01002-K1,2016-07-03 09:35:08,2016-07-08 23:35:08,confirmed_fraud,card_not_present_fraud,3002010.0,3002010,1,75.15,,CREATE_CASE|BLOCK_CARD,No,Case CC-0014: cardholder C01002 reported unrecognized activity on card C01002-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $75.15 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on chrome 62.0. Card blocked and reissued. Customer reimbursed.
CC-0015,C04597,C04597-K2,2016-07-03 11:43:21,2016-07-05 03:43:21,cleared,none,,3002758,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0015: model scored a $93.80 transaction at 0.92. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.
CC-0016,C03575,C03575-K2,2016-07-03 18:31:19,2016-07-04 22:31:19,confirmed_fraud,out_of_region_use,3001839.0,3001839,1,68.46,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0016: cardholder C03575 reported unrecognized activity on card C03575-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $68.46 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0017,C03651,C03651-K2,2016-07-03 18:52:00,2016-07-04 12:52:00,cleared,none,,3003172,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0017: model scored a $149.97 transaction at 0.88. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.
CC-0018,C06800,C06800-K1,2016-07-03 19:37:07,2016-07-04 20:37:07,confirmed_fraud,card_not_present_new_device,3001565.0,3001565,1,150.07,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0018: cardholder C06800 reported unrecognized activity on card C06800-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $150.07 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed."
CC-0019,C06208,C06208-K1,2016-07-03 21:52:10,2016-07-05 01:52:10,confirmed_fraud,card_not_present_new_device,3002476.0,3002476,1,225.09,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0019: cardholder C06208 reported unrecognized activity on card C06208-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $225.09 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a rv:52.0 on firefox. Card blocked and reissued. Customer reimbursed."
CC-0020,C11082,C11082-K1,2016-07-03 21:54:56,2016-07-09 16:54:56,confirmed_fraud,account_takeover,3000808.0,3000808|3000825|3003871|3003906,4,433.91,,CREATE_CASE|BLOCK_CARD,No,Case CC-0020: cardholder C11082 reported unrecognized activity on card C11082-K1. 4 transaction(s) between 2016-07-02 and 2016-07-03 totaling $433.91 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0021,C04265,C04265-K1,2016-07-03 22:08:36,2016-07-05 16:08:36,cleared,none,,3003708,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0021: model scored a $50.09 transaction at 0.86. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0022,C07847,C07847-K2,2016-07-03 22:54:31,2016-07-04 20:54:31,confirmed_fraud,card_not_present_fraud,3001611.0,3001611,1,100.04,,CREATE_CASE|BLOCK_CARD,No,Case CC-0022: cardholder C07847 reported unrecognized activity on card C07847-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $100.04 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on firefox 57.0. Card blocked and reissued. Customer reimbursed.
CC-0023,C11309,C11309-K1,2016-07-03 23:05:27,2016-07-05 18:05:27,cleared,none,,3004228,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0023: model scored a $24.91 transaction at 0.94. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0024,C06059,C06059-K2,2016-07-03 23:13:51,2016-07-08 15:13:51,confirmed_fraud,account_takeover,3003459.0,3003459|3003503,2,1894.06,,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes,"Case CC-0024: cardholder C06059 reported unrecognized activity on card C06059-K2. 2 transaction(s) between 2016-07-03 and 2016-07-03 totaling $1,894.06 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed."
